u925,v925,ws925,wd925
-4.652612594,1.534982685,4.899283192,108.2586757
-1.009726543,3.721601845,3.85614678,164.8202216
-3.78298722,4.732761744,6.058879932,141.3639852
-3.86088143,2.229080933,4.458161866,120
-5.702445414,-1.187317107,5.824740819,78.23837834
0.62702527,12.40566537,12.42150127,182.8934648
-9.298593934,-3.603879694,9.972552231,68.81503683
-7.270666812,3.517030226,8.076638998,115.8143868
-6.739527707,-1.373441558,6.878050263,78.48147693
-9.447452146,-3.034595354,9.92285851,72.1925764
-8.543073731,-1.495859369,8.67304468,80.06840897
-9.771928375,-2.856501525,10.1808735,73.70545725
-8.08127269,-1.141195816,8.161451842,81.96213256
-4.69240376,4.286543421,6.355557218,132.4119163
-4.002756049,3.417236711,5.263037405,130.4880802
-2.253911359,0.946485649,2.444575934,112.7790104
-6.132227513,-1.803461585,6.391923651,73.61161839
-3.217589812,0.865442761,3.331947685,105.0546828
-8.253607573,-1.138983803,8.331825855,82.14290473
-7.487385895,-1.667865924,7.670901138,77.44200936
-4.960900171,-1.559669042,5.200297879,72.54725143
-6.901060717,3.340369688,7.66698824,115.8287062
-3.899780766,5.621573661,6.841811196,145.2503003
-6.487534478,-1.193457822,6.596396378,79.57631447
-3.781756495,2.93149664,4.784909063,127.7816977
-4.087851695,-0.208539189,4.093167486,87.0796234
-1.601551807,-0.189129014,1.61268037,83.26507015
-6.828363978,1.857503461,7.076501518,105.2177991
-4.790699173,1.634619267,5.061894775,108.8399915
-2.779556276,4.008699906,4.878074213,145.2632968
-5.400793267,-0.96213654,5.485824882,79.89888193
-5.836100773,1.273022713,5.973328977,102.305126
-4.730677961,4.116826285,6.271169957,131.0311025
-5.290612244,3.603862655,6.401437647,124.2619335
-4.651439489,6.591998683,8.067858201,144.7924794
-2.029915229,1.795943377,2.71034471,131.5004131
-3.321126085,2.263635719,4.019194588,124.2778262
-0.984713903,6.859045481,6.929369841,171.8301961
-6.644313426,-3.559995231,7.537935191,61.81778104
-6.991434769,-0.328080575,6.999128302,87.31330502
-4.028632195,6.095375936,7.306400288,146.5379871
-6.079060204,-1.071902331,6.172839506,80
-3.883164799,5.658791204,6.863008579,145.541382
-6.105657887,-2.222277731,6.497505409,70
-10.39791008,4.745075717,11.42944782,114.529537
-8.117198386,-3.059526932,8.674653578,69.34761669
-4.74567705,2.886471464,5.554562825,121.309295
-5.806749232,1.646372631,6.035634141,105.8294874
-6.40520302,-3.974146602,7.537935191,58.18221896
-7.564448407,0.526790112,7.582769119,93.98366103
-2.958751681,1.718675917,3.421704023,120.1513928
-8.449550348,-2.124805957,8.71261737,75.88452934
-7.216885784,-2.300728961,7.574747136,72.31782102
-5.600657147,1.562577887,5.814551585,105.5890505
-5.739768513,-2.418740966,6.228583342,67.14942098
-6.716426072,0.395894949,6.728083828,93.37335569
-5.907899633,6.203783664,8.566808613,136.3994368
-5.945983977,2.60776465,6.492700665,113.6810932
-9.269405948,4.421330908,10.26986142,115.5002572
-1.124565786,6.252567314,6.352892744,169.8039823
-5.764764565,0.834384229,5.824835408,98.23572067
