yyyymmdd,u925,v925,ws925,wd925,caseName,LTS
2000-12-16,-8.729196288443399,-0.3586656080150526,8.73656161544957,87.6471518975286,ish20001216s_chem,13.1
2005-11-03,-5.764764565049643,-0.8343842286770174,5.824835408105275,81.7642793336957,ish20051103s_chem,16.2
2006-01-11,-12.783322769118229,-0.7717519805618656,12.806597601976792,86.54514495842847,ish20060111s_chem,14.6
2006-10-07,-1.3101028493389808,-7.429962471285521,7.544581618655693,10.0,ish20061007s_chem,17.5
2007-01-25,-3.3730901139180567,-5.930892498715958,6.822992213679931,29.628288004333115,ish20070125s_chem,13.1
2007-03-28,-7.003445198870063,-2.4064587603019394,7.405355387731913,71.03672997174877,ish20070328s_chem,17.3
2007-04-09,-6.826577528713156,-4.2691962089626,8.0515959303825,57.97901628223437,ish20070409s_chem,13.0
2007-04-12,-5.761616129795184,-0.4253182959892364,5.77729314471918,85.77812501027654,ish20070412s_chem,14.7
2007-04-26,-5.727678462098685,-2.117237680333816,6.106471645739008,69.71315530843077,ish20070426s_chem,19.0
2007-10-01,-7.615295641216456,-1.77996813800455,7.820550765479484,76.84410408943421,ish20071001s_chem,14.1
2007-10-24,-9.287696006750595,-3.0146644222274883,9.76470678988648,72.01724887410256,ish20071024s_chem,16.6
2007-11-15,-6.9233741209706,-1.220777655065869,7.0301783264746245,80.0,ish20071115s_chem,21.8
2007-12-09,-6.901054430978204,-1.999979883242384,7.185017174140791,73.83799578698921,ish20071209s_chem,8.1
2007-12-16,-7.899895094414523,-1.1016334836094903,7.976336178657732,82.06134783927547,ish20071216s_chem,11.5
2007-12-20,-9.937858697671048,-3.224017825024917,10.447742647622714,72.02601661155097,ish20071220s_chem,17.9
2008-01-06,-6.691387772375625,1.638805190368377,6.889147463385899,103.76157661075428,ish20080106s_chem,20.4
2008-01-08,-5.067365926067535,2.1934874968142157,5.521737482654403,113.40611801056424,ish20080108s_chem,18.6
2008-01-10,-2.782289400683655,5.017493614948046,5.737279536958351,150.99085262816186,ish20080110s_chem,13.3
2008-01-11,-2.9773882903530677,5.81206920975481,6.530313126528579,152.87498890253767,ish20080111s_chem,18.0
2008-01-19,-8.150810760435833,-2.6326790301092813,8.565437229237846,72.09975246938876,ish20080119s_chem,14.6
2008-02-22,-2.4454547647207105,7.971760227941183,8.338417723889831,162.94583424960854,ish20080222s_chem,13.5
2008-03-02,-5.67493077057228,-1.2602853607523825,5.813188319787589,77.47898920085618,ish20080302s_chem,11.0
2008-03-06,-2.805785283100262,-0.2239121065242855,2.814705612725807,85.43725334389455,ish20080306s_chem,16.6
2008-03-13,-5.683120876993215,4.506341672439337,7.252928937421039,128.41210678381208,ish20080313s_chem,11.4
2008-03-16,-4.973054012971647,1.2396963165145356,5.12524274284771,103.99755606289727,ish20080316s_chem,14.1
2008-03-17,-0.6938218149859349,4.375791599944546,4.430456052947103,170.99023486787428,ish20080317s_chem,14.7
2008-03-22,-1.7230132716609263,4.929817104354891,5.222247736052909,160.73504225819596,ish20080322s_chem,13.2
2008-03-27,-1.4658293273760257,2.9326041405027867,3.278539714856256,153.44233827387023,ish20080327s_chem,10.2
2008-03-28,-5.437339892915515,2.4860052680363007,5.978702811128409,114.57034538164952,ish20080328s_chem,11.3
2008-04-04,-3.758220286294473,1.6359688736607565,4.098855190891984,113.52369209029804,ish20080404s_chem,17.1
2008-04-08,-2.762426997343972,3.5217264537651545,4.475886518981924,141.88951617564663,ish20080408s_chem,14.9
2008-04-12,-3.84140862898543,0.8690678487333473,3.938489454162056,102.74781233808466,ish20080412s_chem,12.7
2008-04-20,-5.156852141670257,2.509977619178515,5.735251664907667,115.95342365004888,ish20080420s_chem,15.7
2008-04-27,-5.763217394226267,1.5906641916767132,5.978702811128408,105.42965461835048,ish20080427s_chem,12.9
2008-04-29,-7.461202375481782,1.0728122185590845,7.537935191031072,98.18221896423034,ish20080429s_chem,12.0
2008-04-30,-6.524108441319466,3.535098954824884,7.420304277757072,118.45112268162428,ish20080430s_chem,14.4
2008-10-16,-6.470086597480123,1.2315540140327588,6.586254312458039,100.77709017960969,ish20081016s_chem,13.6
2008-10-17,-2.8468913023220725,0.6029861024934761,2.910048509395907,101.95879941008091,ish20081017s_chem,13.7
2008-10-25,-7.714248311212596,-1.2029303597462988,7.807475165342875,81.13689412167025,ish20081025s_chem,14.7
2008-10-26,-4.037286681602127,1.2632648102194997,4.230309885833521,107.37487323409016,ish20081026s_chem,16.8
2008-10-29,-2.22984626212832,0.6109192737742062,2.31202005004205,105.32156957928116,ish20081029s_chem,16.8
2008-10-30,-5.840409733713599,0.6918437459533064,5.881244224351788,96.75566641627051,ish20081030s_chem,15.3
2008-11-04,-6.979285661500106,-4.029492455418382,8.058984910836763,60.0,ish20081104s_chem,13.6
2008-11-05,-6.259054085673114,2.360766878431205,6.689467714376018,110.66528678015128,ish20081105s_chem,13.8
2008-11-22,-6.800689227900134,-1.713938114717043,7.013341417295805,75.85465392111595,ish20081122s_chem,13.2
2008-11-23,-6.094331964342173,2.9299741661180567,6.762072959213167,115.6768681865002,ish20081123s_chem,12.2
2008-12-03,-8.512801298832585,0.819781036073708,8.55218258110243,95.50061019680282,ish20081203s_chem,16.9
2008-12-04,-5.467025310732692,-1.0040699935447512,5.5584640234626725,79.5930745287476,ish20081204s_chem,14.7
2008-12-27,-5.792099481221373,-0.6267549267446074,5.825910927791768,83.82413420132889,ish20081227s_chem,20.5
2008-12-28,-6.5146159314530365,2.625582265259416,7.023809718805492,111.95088779241996,ish20081228s_chem,15.3
